case_id,borrower_name,age,occupation,employer_business,employment_business_vintage_years,annual_income_lakh,existing_emi_inr,credit_score,loan_product,loan_purpose,loan_amount_inr,tenure_years,interest_rate_percent,primary_property_pdf,city,locality,property_type,property_address,building_society,flat_house_number,bedrooms,carpet_area_sqft,builtup_area_sqft,floor,total_floors,property_age_years,parking,occupancy,condition,sale_deed_status,property_card_status,share_certificate_status,building_plan_status,occupancy_certificate_status,property_tax_status,encumbrance_security_interest_status,owner_consistency,address_consistency,property_id_consistency,area_consistency,property_type_consistency,document_completeness,exceptions,comparable_count,average_comparable_rate_inr_sqft,adjusted_comparable_rate_inr_sqft,indicative_value_inr,indicative_value_low_inr,indicative_value_high_inr,valuation_confidence,ltv_percent,collateral_coverage_x,collateral_assessment,valuer_status,valuer_assessed_value_inr,valuer_override_reason,credit_review_status,data_classification,data_note
CLIQ-00023,Vikram Jain,50,Self-Employed Professional,Manufacturing Business,1,22.1,23500,843,Loan Against Property (LAP),Medical/Personal Need,17700000,7,9.08,Simulated - property information source,Thane,Wagle Estate,Apartment / Flat,"644, Wagle Estate, Thane, Maharashtra",Green Heights,105,2,1200,1380,13,21,5,1 Covered,Vacant,Average,Uploaded,Uploaded,Uploaded,Uploaded,Pending,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Exception,Pass,Incomplete,Area inconsistency; Document completeness review,8,24700,24300,29200000,27600000,30400000,Low,60.6,1.65,MEDIUM - REVIEW REQUIRED,Completed,29500000,No material adjustment,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00024,Ananya Kulkarni,34,Self-Employed Professional,Professional Practice,16,25.87,44700,752,Loan Against Property (LAP),Debt Consolidation,50000000,15,11.45,Simulated - property information source,Thane,Naupada,Row House,"26, Naupada, Thane, Maharashtra",Sunrise Apartments,House-72,2,2740,3190,3,9,11,1 Open,Vacant,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Incomplete,Document completeness review,8,30200,30500,83600000,80100000,88900000,High,59.8,1.67,MEDIUM - REVIEW REQUIRED,Completed,79400000,Condition/marketability adjustment,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00025,Neha Shah,30,Salaried,Private Company,10,9.65,12300,817,Loan Against Property (LAP),Business Expansion,28200000,7,9.07,Simulated - property information source,Thane,Vartak Nagar,Apartment / Flat,"408, Vartak Nagar, Thane, Maharashtra",Sai Enclave,402,3,1390,1720,18,31,7,1 Open,Tenant-occupied,Good,Pending,Uploaded,Uploaded,Uploaded,Uploaded,Pending,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,5,31600,32600,45300000,43100000,48300000,High,62.3,1.61,LOW - REVIEW COMPLETE,Inspection Scheduled,,,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00026,Sneha Kulkarni,36,Business Owner,Government Department,6,21.72,17500,795,Home Loan,Balance Transfer,21200000,15,11.1,Simulated - property information source,Mumbai,Prabhadevi,Apartment / Flat,"112, Prabhadevi, Mumbai, Maharashtra",Ocean View CHS,904,2,450,530,5,9,20,2 Covered,Self-occupied,Excellent,Pending,Uploaded,Uploaded,Pending,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,5,72300,70700,31800000,30000000,33300000,High,66.7,1.5,LOW - REVIEW COMPLETE,Pending,,,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00027,Isha Bansal,26,Government Employee,Professional Practice,8,18.46,37600,784,Loan Against Property (LAP),Medical/Personal Need,17800000,7,11.4,Simulated - property information source,Mumbai,Andheri West,Apartment / Flat,"748, Andheri West, Mumbai, Maharashtra",Green Heights,607,1,770,910,18,28,2,None,Vacant,Good,Uploaded,Uploaded,Not Applicable,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,5,47000,46900,36100000,34200000,37700000,High,49.3,2.03,LOW - REVIEW COMPLETE,Pending,,,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00028,Meera Deshmukh,28,Self-Employed Professional,Government Department,11,31.25,71600,761,Home Loan,Balance Transfer,10600000,30,10.22,Simulated - property information source,Thane,Kalwa,Apartment / Flat,"27, Kalwa, Thane, Maharashtra",Sunrise Apartments,501,2,1530,1930,2,35,23,2 Covered,Vacant,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,8,19900,19600,30000000,28600000,31600000,High,35.3,2.83,LOW - REVIEW COMPLETE,Completed,29900000,No material adjustment,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00029,Neha Mehta,41,Salaried,Trading Business,4,44.65,96400,771,Home Loan,Construction,50000000,25,9.84,Simulated - property information source,Mumbai,Worli,Apartment / Flat,"47, Worli, Mumbai, Maharashtra",Shree Residency,701,4,1280,1600,3,33,3,1 Covered,Self-occupied,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,5,78800,78500,100500000,95300000,106200000,High,49.8,2.01,LOW - REVIEW COMPLETE,Pending,,,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00030,Meera Joshi,44,Business Owner,Professional Practice,4,8.59,12300,784,Home Loan,Balance Transfer,11100000,30,11.17,Simulated - property information source,Mumbai,Andheri East,Apartment / Flat,"537, Andheri East, Mumbai, Maharashtra",Green Heights,705,4,550,660,15,17,27,2 Covered,Vacant,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Exception,Pass,Pass,Complete,Property identification mismatch,6,44600,44200,24300000,23200000,25100000,High,45.7,2.19,MEDIUM - REVIEW REQUIRED,Pending,,,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00031,Aditya Kulkarni,45,Business Owner,Government Department,17,13.98,12200,720,Loan Against Property (LAP),Debt Consolidation,24500000,10,10.36,Simulated - property information source,Thane,Kopri,Apartment / Flat,"394, Kopri, Thane, Maharashtra",Ocean View CHS,901,4,1710,2070,15,33,6,2 Covered,Vacant,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,5,29000,28800,49200000,46700000,51900000,Medium,49.8,2.01,LOW - REVIEW COMPLETE,Completed,46600000,No material adjustment,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00032,Rahul Iyer,32,Salaried,Trading Business,12,14.02,23500,802,Home Loan,Purchase of Residential Property,7800000,15,10.73,Simulated - property information source,Thane,Manpada,Apartment / Flat,"318, Manpada, Thane, Maharashtra",Demo Housing Society,703,3,850,1020,10,22,20,None,Tenant-occupied,Good,Uploaded,Pending,Uploaded,Uploaded,Uploaded,Uploaded,Verification Pending,Pass,Pass,Pass,Pass,Pass,Complete,Security-interest verification pending,5,29600,29700,25200000,23800000,26000000,Medium,31.0,3.23,MEDIUM - REVIEW REQUIRED,Inspection Scheduled,,,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00033,Meera Pawar,36,Self-Employed Professional,Trading Business,21,22.57,15900,715,Loan Against Property (LAP),Debt Consolidation,17500000,10,9.45,Simulated - property information source,Thane,Naupada,Apartment / Flat,"771, Naupada, Thane, Maharashtra",Demo Housing Society,804,2,840,970,4,21,4,1 Covered,Vacant,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,8,34100,33900,28500000,27400000,29600000,High,61.4,1.63,LOW - REVIEW COMPLETE,Pending,,,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00034,Karan Bansal,42,Government Employee,Trading Business,7,24.04,62500,732,Home Loan,Balance Transfer,15900000,15,11.31,Simulated - property information source,Mumbai,Dadar East,Apartment / Flat,"954, Dadar East, Mumbai, Maharashtra",Green Heights,603,2,710,880,17,20,22,2 Covered,Self-occupied,Average,Uploaded,Uploaded,Pending,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Mostly Complete,Document completeness review,8,52600,51200,36400000,34800000,37800000,Medium,43.7,2.29,MEDIUM - REVIEW REQUIRED,Completed,35400000,Condition/marketability adjustment,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00035,Arjun Patil,35,Salaried,Government Department,12,18.0,21200,699,Home Loan,Balance Transfer,33600000,30,10.1,Simulated - property information source,Mumbai,Wadala,Independent House,"520, Wadala, Mumbai, Maharashtra",Sunrise Apartments,House-71,2,1000,1160,14,34,16,None,Self-occupied,Excellent,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,7,49600,49400,49400000,47400000,51100000,High,68.0,1.47,LOW - REVIEW COMPLETE,Completed,46700000,No material adjustment,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00036,Aditya Malhotra,42,Salaried,Private Company,9,10.25,22600,796,Loan Against Property (LAP),Debt Consolidation,50000000,7,9.48,Simulated - property information source,Mumbai,Andheri West,Independent House,"887, Andheri West, Mumbai, Maharashtra",Demo Housing Society,House-43,2,2480,3010,6,31,15,1 Open,Self-occupied,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Pending,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,7,49400,49300,122300000,115100000,129100000,High,40.9,2.45,LOW - REVIEW COMPLETE,Pending,,,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00037,Isha Verma,47,Self-Employed Professional,Government Department,13,7.5,18900,712,Loan Against Property (LAP),Business Expansion,23900000,20,8.53,Simulated - property information source,Thane,Balkum,Row House,"821, Balkum, Thane, Maharashtra",Demo Housing Society,House-87,2,1520,1770,11,32,20,2 Covered,Tenant-occupied,Good,Uploaded,Uploaded,Pending,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Exception,Pass,Complete,Area inconsistency,6,27100,27600,42000000,39600000,44400000,Low,56.9,1.76,MEDIUM - REVIEW REQUIRED,Pending,,,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00038,Aditya Nair,43,Government Employee,Private Company,8,25.85,66300,812,Home Loan,Balance Transfer,10500000,15,10.63,Simulated - property information source,Mumbai,Andheri East,Apartment / Flat,"463, Andheri East, Mumbai, Maharashtra",Shree Residency,802,1,800,980,13,23,15,2 Covered,Self-occupied,Needs Review,Uploaded,Pending,Not Applicable,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,7,42600,43100,34500000,33500000,35800000,High,30.4,3.29,LOW - REVIEW COMPLETE,Pending,,,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
